GEOID20,Tot_2020_pres,D_2020_pres,R_2020_pres,Tot_2020_sen,D_2020_sen,R_2020_sen,Tot_2016_pres,D_2016_pres,R_2016_pres
1100102-074,4238,3954,180,3956,3230,241,3518,3213,118
1100102-072,3354,3179,117,3166,2689,147,2912,2745,60
1100102-073,1777,1655,86,1624,1307,90,1596,1462,51
1100102-127,4054,3710,239,3706,2961,306,3623,3245,170
1100102-131,5814,4778,820,5392,3816,1135,2930,2408,222
1100102-111,1956,1845,63,1802,1540,59,1652,1572,31
1100102-078,2241,2130,66,2106,1786,82,1999,1892,36
1100102-001,7408,6901,349,4145,3355,411,4114,3710,195
1100102-089,2939,2525,303,2593,1849,443,2902,2365,257
1100102-084,2231,1987,179,2007,1493,275,2285,1950,133
1100102-066,4214,4009,124,3943,3394,146,3511,3319,64
1100102-014,3060,2719,258,2718,2089,325,3160,2764,210
1100102-038,2620,2450,103,2445,1921,139,2297,2132,61
1100102-123,2007,1818,130,1865,1556,137,1630,1490,81
1100102-124,2007,1919,44,1883,1615,72,1706,1625,33
1100102-004,2434,2092,272,2141,1582,358,2219,1876,204
1100102-040,3275,3034,141,2991,2276,165,3507,3204,100
1100102-003,1711,1435,231,1454,1024,253,1712,1378,215
1100102-061,1483,1384,75,1361,1165,68,1332,1242,49
1100102-030,1478,1315,123,1298,1002,162,1448,1227,130
1100102-070,1356,1282,45,1269,1052,55,1212,1131,20
1100102-083,7027,6442,393,6545,5221,614,4969,4427,198
1100102-100,1961,1867,53,1784,1574,43,1558,1514,13
1100102-065,2446,2305,88,2237,1942,90,2158,2046,40
1100102-132,1554,1476,39,1424,1247,52,1289,1246,14
1100102-019,3733,3537,107,3482,2883,174,3381,3153,63
1100102-102,1985,1904,42,1809,1577,59,1617,1560,22
1100102-128,2392,2185,140,2225,1777,177,2300,2039,98
1100102-081,4252,3946,186,3943,3146,304,3949,3576,139
1100102-082,2580,2378,118,2388,1899,193,2410,2146,85
1100102-055,2092,1977,73,1928,1608,90,1911,1791,43
1100102-090,1633,1466,111,1463,1101,189,1568,1363,66
1100102-008,3232,2757,372,2792,1998,546,2922,2384,300
1100102-085,2909,2534,246,2601,1894,378,2757,2318,179
1100102-071,2125,2028,65,1992,1724,80,1787,1673,48
1100102-069,1967,1873,67,1826,1571,69,1650,1558,42
1100102-086,2143,1976,109,1939,1543,170,2073,1845,96
1100102-032,2996,2726,198,2588,2066,263,2809,2497,183
1100102-012,771,646,104,673,479,156,666,512,95
1100102-005,2642,2208,347,2214,1603,432,2649,2140,269
1100102-093,1291,1204,52,1192,1005,51,1083,1029,23
1100102-002,403,357,32,363,267,45,867,743,58
1100102-048,2575,2417,111,2321,1925,113,2375,2204,65
1100102-129,2748,2438,239,2468,1941,321,2385,2081,144
1100102-130,965,769,150,848,555,204,996,765,114
1100102-107,1230,1164,35,1131,978,41,1174,1136,10
1100102-062,3037,2875,118,2752,2380,129,2803,2603,104
1100102-051,3892,3504,298,3296,2586,426,3565,3058,309
1100102-103,2617,2494,72,2400,2101,61,2381,2282,41
1100102-046,2511,2381,75,2319,1975,87,2291,2129,52
1100102-041,3073,2869,140,2865,2327,145,2932,2721,79
1100102-135,2572,2414,101,2406,1944,144,2440,2257,69
1100102-006,2614,2185,350,2204,1553,458,2760,2215,309
1100102-025,4319,4033,195,3897,3090,312,4180,3797,155
1100102-108,953,903,25,859,751,22,863,815,18
1100102-064,2122,2012,69,1934,1664,65,1901,1793,37
1100102-087,2475,2224,166,2258,1753,244,2447,2191,94
1100102-091,4176,3814,240,3826,3010,340,3499,3159,134
1100102-119,1630,1519,70,1519,1287,71,1611,1543,33
1100102-121,2608,2480,62,2386,2078,93,2172,2090,23
1100102-017,4567,4149,316,4091,3251,463,4801,4290,234
1100102-015,3174,2924,170,2796,2247,245,3184,2861,154
1100102-034,4485,4133,253,3992,3224,309,4201,3753,204
1100102-009,1596,1256,291,1301,844,364,1687,1280,260
1100102-047,2969,2798,109,2725,2230,123,2770,2611,67
1100102-020,784,744,28,730,592,43,1333,1277,19
1100102-056,2851,2693,103,2609,2231,96,2445,2285,58
1100102-052,1478,1370,88,1240,1019,114,1335,1190,81
1100102-060,1975,1822,108,1766,1497,101,1665,1565,57
1100102-033,3126,2873,179,2781,2218,244,3035,2704,176
1100102-067,2549,2405,100,2379,2046,99,2296,2150,71
1100102-013,1541,1334,147,1295,975,203,1469,1280,105
1100102-143,1828,1558,211,1629,1212,262,1713,1427,144
1100102-059,2225,2114,72,2019,1725,59,2021,1878,58
1100102-138,2375,2155,168,2056,1624,210,2323,2044,137
1100102-104,2518,2394,71,2323,2002,92,2081,1982,40
1100102-116,2569,2420,66,2356,2036,94,2333,2251,31
1100102-075,3569,3353,132,3378,2743,198,3131,2871,84
1100102-110,3089,2952,84,2847,2462,91,2747,2614,53
1100102-011,3860,3407,326,3493,2575,459,3884,3188,363
1100102-092,1103,1038,34,1013,888,36,1036,998,13
1100102-077,2547,2390,88,2394,1941,122,2178,2035,44
1100102-054,2021,1920,82,1829,1502,78,1918,1773,69
1100102-049,838,784,30,779,613,31,764,718,12
1100102-043,1555,1478,44,1446,1213,50,1448,1357,24
1100102-098,1597,1527,41,1482,1273,45,1333,1266,23
1100102-079,1598,1478,70,1502,1244,75,1409,1330,32
1100102-080,1458,1316,90,1285,1017,104,1116,1026,29
1100102-028,2889,2512,303,2521,1940,332,2814,2356,264
1100102-050,2485,2231,192,2169,1659,266,2233,1935,182
1100102-101,1332,1253,50,1238,1065,52,1182,1145,16
1100102-036,3924,3655,180,3677,2965,207,3640,3387,108
1100102-031,2668,2401,208,2329,1802,288,2602,2236,209
1100102-113,1908,1810,60,1751,1517,54,1760,1669,36
1100102-126,2770,2604,105,2565,2224,115,2326,2204,41
1100102-037,2816,2670,87,2607,2128,136,2627,2446,56
1100102-016,3558,3273,211,3149,2558,311,3642,3298,150
1100102-007,1598,1334,218,1397,987,285,1531,1227,166
1100102-023,2751,2587,113,2557,2092,151,2721,2523,66
1100102-026,3402,3098,226,3026,2403,322,3202,2870,164
1100102-021,946,897,30,874,729,50,968,900,26
1100102-018,4282,4030,171,3977,3320,259,4174,3877,98
1100102-134,1612,1534,48,1457,1271,56,1518,1469,25
1100102-125,3082,2901,104,2853,2497,100,2837,2759,24
1100102-097,1031,968,26,958,838,36,931,888,16
1100102-076,1460,1360,64,1390,1142,80,1067,972,43
1100102-140,1342,1263,46,1238,1053,57,1246,1196,20
1100102-136,874,794,56,789,639,63,924,831,39
1100102-099,1276,1195,43,1171,1005,34,1034,971,17
1100102-022,4083,3800,207,3738,3040,337,3623,3326,103
1100102-142,2495,2195,233,2280,1762,270,1548,1365,89
1100102-068,1888,1708,111,1743,1359,123,1682,1484,82
1100102-027,2600,2403,142,2231,1745,222,2563,2282,125
1100102-106,2184,2090,59,1976,1718,65,1955,1856,35
1100102-063,3431,3234,132,3111,2560,124,3049,2828,83
1100102-053,1188,1087,71,1061,880,74,1078,984,49
1100102-139,2513,2388,85,2308,2034,97,1913,1796,56
1100102-114,2293,2125,87,2118,1773,81,2000,1892,34
1100102-024,2816,2624,130,2556,2039,199,2709,2494,89
1100102-044,2395,2166,161,2178,1838,137,2236,1970,158
1100102-042,1618,1525,57,1525,1258,63,1577,1471,28
1100102-035,3508,3310,126,3224,2543,182,3399,3168,73
1100102-112,1632,1547,47,1480,1280,58,1466,1407,15
1100102-133,1029,971,32,948,810,50,976,938,14
1100102-045,2044,1937,55,1874,1538,77,1912,1791,35
1100102-141,2601,2406,134,2341,1850,229,2600,2361,108
1100102-094,1512,1435,44,1411,1205,48,1315,1254,25
1100102-109,847,815,14,795,697,25,792,730,21
1100102-105,1971,1872,52,1805,1566,62,1665,1600,18
1100102-137,1020,949,51,940,771,77,1049,950,35
1100102-122,1350,1276,40,1249,1066,50,1175,1120,16
1100102-096,1787,1700,42,1635,1426,48,1569,1520,17
1100102-057,2184,2059,83,2010,1688,82,1977,1832,57
1100102-120,1682,1569,52,1536,1320,61,1321,1264,17
1100102-058,1933,1815,73,1758,1484,73,1726,1640,33
1100102-039,3520,3314,123,3178,2488,157,3488,3238,70
1100102-088,2197,1962,154,1943,1463,250,2175,1891,113
1100102-115,1546,1463,41,1416,1250,52,1549,1493,18
1100102-095,1235,1171,43,1151,1012,27,1169,1121,16
1100102-029,1538,1404,99,1375,1076,131,1508,1295,102
1100102-010,2258,1952,247,1954,1486,327,2230,1854,224
1100102-118,2008,1903,53,1867,1623,56,1764,1698,24
1100102-117,1691,1585,58,1558,1340,70,1462,1405,29
