GEOID20,Tot_2016_sen,D_2016_sen,R_2016_sen,Tot_2016_pres,D_2016_pres,R_2016_pres,Tot_2018_ag,D_2018_ag,R_2018_ag,Tot_2018_gov,D_2018_gov,R_2018_gov
46103VTDJS5,1281,322,959,1280,348,878,1171,406,770,1197,441,747
46103VTDN34,1081,269,815,1095,271,721,865,308,556,903,336,536
46103VTD4-3,902,288,614,904,302,547,757,363,394,783,386,387
46103VTD-23,1271,276,990,1280,339,854,1114,396,717,1145,411,719
46103VTD4-2,1248,458,786,1259,439,696,972,481,485,1012,493,485
46103VTD5-2,1771,618,1149,1784,640,952,1483,715,767,1546,780,736
46103VTD5-1,505,184,318,509,197,264,434,223,203,450,227,205
46103VTD-AW,2601,792,1809,2837,898,1830,1992,742,1250,2022,744,1253
46103VTD3-5,347,86,262,344,102,221,303,126,174,315,135,178
46103VTD-F1,1230,325,909,1249,319,808,842,325,519,881,369,490
46103VTD1-2,1898,551,1348,1903,588,1145,1622,721,899,1703,801,876
46103VTD2-5,194,90,103,203,86,90,169,100,69,177,103,66
46103VTD4-5,825,240,583,830,240,505,693,304,390,714,336,369
46103VTD1-1,1428,358,1069,1437,394,900,1267,494,772,1326,557,749
46103VTD1-3,2509,626,1887,2513,731,1618,2184,902,1276,2288,973,1284
46103VTD333,436,92,342,450,105,304,385,147,240,401,165,227
46103VTD4-1,418,148,267,423,147,227,376,176,201,392,193,183
46103VTD2-2,77,19,56,78,19,49,49,23,25,53,25,25
46103VTD4-4,989,435,553,993,402,464,831,468,359,863,499,342
46103VTD2-3,1345,400,943,1362,409,816,1164,502,657,1216,543,639
46103VTD3-2,3046,661,2382,3018,794,2027,2719,1014,1708,2811,1089,1691
46103VTD3-3,856,212,645,867,274,544,842,360,486,860,379,476
46103VTD3-1,684,206,473,685,234,377,585,263,321,615,301,299
461050VTD-2,102,7,87,102,7,83,80,7,69,83,22,65
461050VTD-4,56,6,46,56,6,47,51,14,37,51,10,41
461050VTD-5,142,18,112,145,11,118,107,10,93,110,11,92
461050VTD-6,121,24,103,121,3,107,103,24,81,105,32,67
461050VTD-7,131,0,129,131,0,127,107,3,86,108,11,78
461050VTD-8,67,0,64,67,0,58,47,10,38,51,12,38
461050VTD-9,80,3,76,80,1,76,70,3,53,76,16,50
46105VTD-12,316,43,272,316,37,265,284,78,203,292,94,199
46105VTD-L1,288,54,234,284,45,221,199,87,114,214,71,142
461090VTD-1,171,30,151,169,49,112,151,55,79,151,79,79
461090VTD-2,433,113,347,432,113,300,393,131,269,418,141,265
461090VTD-3,195,59,129,163,62,113,162,106,69,195,109,74
461090VTD-4,92,31,49,93,18,56,67,30,31,67,49,19
461090VTD-8,120,41,69,104,43,61,100,61,39,101,73,30
46109VTD-11,738,270,458,738,342,393,688,411,278,718,423,282
461090VTD-5,408,168,211,408,215,147,341,252,98,348,256,102
461090VTD-9,452,106,326,452,139,280,398,162,228,427,211,211
46109VTD-10,213,112,89,205,122,74,218,155,63,227,164,60
461090VTD13,287,124,164,290,147,126,264,161,99,269,171,97
461110VTD-1,263,42,219,263,42,214,219,60,133,225,67,130
461110VTD-2,328,45,242,328,31,226,322,106,184,325,110,171
461110VTD-4,298,82,201,294,55,200,253,88,153,262,92,153
461110VTD-5,255,47,201,248,66,176,230,85,138,234,96,141
461150VTD-1,399,72,340,394,74,256,385,113,248,392,120,237
461150VTD-3,312,73,251,312,73,247,298,141,190,299,155,172
461150VTD-4,303,43,238,304,63,226,248,91,163,286,100,158
461150VTD-5,208,64,134,207,65,125,206,110,108,209,111,113
461150VTD-6,115,21,83,114,33,82,111,37,61,111,61,39
461150VTD-7,447,116,353,437,122,289,416,203,226,425,211,225
461150VTD-8,141,37,95,141,37,94,140,70,74,141,74,74
461150VTD-9,539,161,376,539,185,289,461,246,213,481,289,177
46115VTD-10,489,165,326,476,197,253,439,214,235,471,256,203
461170VTD-1,1380,282,1096,1389,303,993,1310,771,547,1325,654,649
461170VTD-2,72,5,66,74,8,55,64,18,46,67,17,47
461170VTD-3,97,8,90,97,8,80,90,49,43,91,26,65
46121VTD-BO,57,37,18,58,42,10,63,53,8,63,56,6
46121VTD-JE,75,10,60,79,5,73,76,14,56,79,16,55
46121VTD-LA,104,4,98,105,5,94,100,21,76,106,21,78
46121VTD-OK,114,71,46,114,71,44,106,71,33,108,75,34
46121VTD-PA,260,195,56,257,215,13,263,234,20,273,251,13
46121VTD-RO,410,306,107,410,339,46,430,382,51,455,413,39
46121VTD-SA,241,157,83,250,175,57,257,202,57,268,225,35
46121VTD-SF,329,224,100,339,270,44,308,249,45,328,280,36
46121VTDMNA,498,347,150,503,371,94,529,433,100,541,480,67
46123VTD-CF,131,19,111,131,19,112,130,32,83,131,64,83
46123VTD-CL,362,64,297,363,41,297,337,83,238,347,159,220
46123VTD-E2,241,48,191,244,45,192,221,86,140,228,94,130
46123VTD-E3,290,43,245,287,47,222,269,91,177,274,121,157
46123VTD-HM,102,4,88,101,4,87,85,18,58,87,20,57
46123VTD-ID,80,9,67,80,10,64,66,16,50,71,19,48
46123VTD-LM,327,61,257,324,45,260,310,92,218,313,111,194
46123VTD-SU,95,25,65,94,17,65,95,46,63,102,53,53
46123VTD-W2,350,65,288,348,78,263,309,110,202,321,148,173
46123VTD-W3,203,54,160,204,42,161,178,75,114,191,89,96
46123VTD-WT,99,13,79,101,7,81,98,30,63,98,33,63
46123VTDSE1,153,22,131,154,29,120,137,49,86,143,58,86
46123VTD-LK,155,6,142,156,6,131,142,35,95,145,67,92
461250VTD-1,842,164,703,840,132,597,734,235,472,772,274,465
461250VTD-2,937,188,745,921,203,684,791,288,528,853,363,478
461250VTD-3,319,62,258,316,65,243,258,81,190,280,98,190
461250VTD-4,281,40,238,281,54,198,284,87,174,292,87,198
461250VTD-5,533,108,436,536,138,375,477,166,326,524,242,294
461250VTD-6,488,121,357,501,138,333,433,159,271,451,191,255
461250VTD-7,175,44,133,174,48,105,167,92,92,172,99,68
461250VTD-8,562,99,435,561,133,382,512,181,322,534,193,322
461270VTD-1,341,60,278,341,82,239,278,83,183,283,112,183
461270VTD-3,760,218,561,760,230,454,580,230,363,622,282,323
461270VTD-4,382,102,265,385,136,236,301,134,168,304,138,162
461270VTD-5,484,138,346,487,142,318,426,176,241,442,202,233
461270VTD-7,538,91,463,551,105,428,463,102,335,466,105,335
461270VTD-8,476,89,389,466,131,301,386,139,230,396,162,228
461270VTD-9,439,112,328,453,145,282,343,152,193,353,151,204
46127VTD-10,635,191,441,652,200,422,469,194,266,492,198,275
46127VTD-11,719,180,537,723,222,464,513,186,332,531,203,323
46127VTD-12,852,114,737,841,175,636,726,180,545,738,191,535
46127VTD-13,1216,232,984,1239,309,889,1095,294,804,1114,307,795
46129VTD-01,133,20,123,146,13,126,128,38,106,128,37,106
46129VTD-02,145,24,127,145,8,127,145,38,96,145,38,95
46129VTD-04,167,42,128,167,41,121,139,43,90,143,52,83
46129VTD-06,478,96,383,489,109,345,438,179,246,440,160,280
46129VTD-05,321,86,244,321,76,226,294,133,156,302,119,175
46129VTD-09,81,14,71,91,9,65,65,14,48,68,21,46
46129VTD-10,154,17,129,154,12,128,130,41,88,133,31,100
46129VTD-08,78,2,72,85,0,78,78,21,59,79,16,59
46129VTD-07,462,106,348,462,113,329,388,177,215,396,141,253
46137VTD-BR,31,25,5,34,27,7,37,30,7,39,31,5
46137VTD-CC,74,53,22,77,69,8,70,61,10,74,61,10
46137VTD-DV,179,91,88,182,100,68,221,170,47,230,183,45
46137VTD-GV,70,13,57,70,8,57,57,28,36,57,36,27
46137VTD-RS,55,35,19,53,37,12,58,45,13,62,52,8
46019VTD-14,277,38,248,278,20,248,250,47,189,252,73,180
46019VTD-13,220,32,191,223,12,191,191,40,145,197,57,137
460190VTD-8,11,0,11,11,0,11,11,0,9,11,2,9
46023VTD11b,256,32,226,256,35,213,234,74,156,234,86,146
46023VTD11c,195,22,171,195,26,164,179,56,117,180,67,111
46023VTD11a,231,28,204,231,33,193,207,67,142,210,75,132
46023VTD12c,33,8,25,33,8,21,29,15,15,30,17,11
46023VTD12a,45,8,31,45,8,27,41,22,20,42,23,16
46023VTD12b,29,7,23,29,7,22,28,15,13,29,17,12
46023VTD-6a,71,35,37,70,36,36,76,53,21,76,60,11
460230VTD6B,71,32,36,71,32,32,73,49,21,73,58,13
46023VTD-6c,72,35,38,72,35,35,75,52,21,76,60,14
46023VTD-3b,167,65,101,167,65,92,162,97,65,167,114,52
46023VTD-3c,164,64,100,164,64,91,162,97,64,164,114,49
46023VTD-3a,176,66,107,175,66,95,169,101,66,176,122,53
46031VTD-MI,136,20,99,136,20,99,99,43,67,99,43,67
46031VTD-AR,33,7,24,33,7,24,24,10,15,24,10,15
46031VTD-BU,67,22,44,68,25,35,65,35,26,65,32,29
46031VTD-LC,29,8,20,29,11,15,26,15,11,28,15,14
46033VTD8-1,129,38,92,132,42,78,125,50,74,131,58,70
46033VTD8-2,302,84,212,306,99,177,291,118,175,303,135,162
46035VTD-C5,156,31,127,156,32,120,147,49,94,150,69,93
46035VTD-06,395,85,307,389,124,255,347,144,201,369,164,201
46035VTD-07,490,108,381,485,154,315,430,180,253,460,203,253
460350VTD12,315,79,231,307,106,188,281,122,156,293,145,149
460350VTD13,274,71,205,269,92,168,243,105,139,258,125,131
460350VTD17,65,19,46,65,25,35,49,23,26,51,26,25
460350VTD18,277,81,201,277,109,157,213,100,112,219,110,109
46047VTD-EA,147,13,114,147,10,111,124,27,88,127,28,88
46047VTD-E2,123,21,95,125,16,94,107,25,75,108,26,75
46047VTD-E1,133,24,106,135,21,106,114,29,81,114,29,81
46047VTD-E3,124,22,99,125,18,95,103,28,74,105,29,74
46047VTD-OA,126,1,117,126,0,115,124,16,109,126,24,88
46047VTD-OE,68,1,62,68,0,62,68,12,56,68,15,46
460590VTD-9,108,4,106,108,4,90,93,12,78,94,21,75
460590VTD10,39,0,38,39,0,31,31,2,29,32,3,29
460590VTD-5,184,14,169,179,11,154,116,33,83,119,47,53
460590VTD-8,35,3,32,35,2,30,23,7,16,24,9,9
460590VTD-1,156,6,125,156,4,125,121,18,103,122,27,86
460590VTD-3,90,2,74,90,0,74,73,8,66,73,20,45
460590VTD-2,75,11,65,75,12,62,70,18,47,71,18,47
46059VTDM3b,111,23,89,111,24,76,99,40,59,104,48,55
46059VTD-M2,240,54,189,239,55,168,217,88,127,229,101,121
46059VTD-12,84,15,69,84,16,60,77,27,50,80,41,46
46059VTD-M1,240,51,183,232,56,165,208,89,125,222,113,114
46059VTDM3a,137,29,106,133,31,96,120,51,70,129,63,63
460590VTD-7,131,18,84,131,18,82,97,59,65,131,65,65
46071VTD4W1,83,14,68,84,14,64,62,20,44,64,24,39
46071VTD4W2,80,14,67,83,15,65,63,20,43,65,25,38
46071VTD3W3,135,17,117,140,15,117,110,26,79,116,33,77
460710VTD-3,116,12,100,118,8,100,93,21,68,97,25,64
460750VTD-1,107,0,98,107,1,92,98,24,86,107,26,62
46075VTD-M1,88,4,78,88,5,75,81,21,67,88,26,56
46075VTD-M2,88,7,84,88,20,63,85,23,62,88,30,52
460750VTD-3,19,1,18,19,1,13,19,2,13,19,6,12
46075VTD-M3,79,6,70,76,12,56,71,21,56,76,25,45
46089VTDSEL,70,7,62,70,13,55,86,20,64,87,25,62
46089VTD-L2,53,10,45,53,13,41,69,16,48,70,21,45
46089VTD-L3,53,10,45,53,11,41,65,16,48,66,21,44
46089VTDNEL,152,9,133,129,8,99,128,9,99,129,21,96
46089VTD-L1,81,11,69,64,9,50,63,11,50,63,18,46
46089VTD-E3,156,25,141,156,23,122,141,35,100,143,40,98
46089VTD-CN,75,7,70,76,5,53,70,11,45,71,12,42
46089VTD-SW,65,2,64,65,12,48,54,12,40,64,17,40
46089VTD-E2,152,21,131,152,33,117,126,35,90,130,42,84
46089VTD-NW,80,1,76,80,4,73,73,8,53,73,9,52
46089VTD-E1,151,12,140,155,21,128,130,33,97,131,36,95
46103VTD-19,525,81,438,528,58,436,438,97,337,459,119,325
46103VTD-11,59,6,51,59,4,51,51,11,39,52,12,38
46103VTDRK4,1281,237,1043,1308,276,962,1095,313,785,1121,337,771
461030VTD-9,413,79,338,423,92,308,353,102,252,362,109,249
46105VTD-L3,275,41,235,275,38,222,229,67,165,244,56,182
461050VTD-3,16,0,11,16,0,11,11,3,9,11,2,10
461090VTD-6,67,11,48,67,11,41,66,19,37,66,19,38
461090VTD-7,480,106,358,476,116,311,452,181,251,468,189,268
461090VTD14,149,66,87,145,74,65,130,81,47,136,87,46
461090VTD12,171,78,101,165,85,78,150,92,56,156,101,56
46129VTD-03,418,41,364,399,36,346,375,100,289,389,114,283
46137VTD-SD,201,70,127,200,58,121,200,111,83,201,119,75
46137VTD-RD,133,46,83,131,39,80,131,71,52,133,77,50
46137VTD-ND,29,9,18,29,8,18,29,15,12,29,18,10
46127VTD-B2,233,56,174,232,69,151,204,97,109,214,109,105
46127VTD-B1,188,47,140,188,52,117,162,77,88,171,88,83
46127VTD-B3,209,51,155,208,61,131,181,86,98,189,98,92
46127VTD-A2,122,36,90,122,38,79,108,50,58,113,56,56
46127VTD-A3,140,38,102,138,46,86,123,54,68,128,63,63
46127VTD-A1,121,33,90,119,40,75,105,47,59,109,53,54
46007VTD-02,113,33,77,113,39,67,104,52,53,113,52,53
46007VTD-05,116,35,83,116,37,68,109,54,58,115,54,59
46007VTD-06,126,41,86,126,43,74,120,58,62,123,59,64
460150VTD-5,316,54,241,313,50,218,270,74,196,276,106,184
46015VTD-D3,69,15,54,69,14,49,63,20,45,64,26,40
460150VTD-3,1215,328,875,1214,349,773,1080,463,617,1112,544,523
460150VTD-2,103,3,94,100,4,82,95,23,58,100,38,51
460490VTD-6,518,89,415,511,96,374,444,127,325,459,197,263
46025VTD4-1,164,55,109,160,38,101,138,52,83,147,74,69
46025VTD4-2,160,39,121,160,45,108,142,61,88,156,69,85
4602500VTD2,400,89,321,400,88,266,387,156,218,410,182,218
4602500VTD3,140,20,124,140,24,102,136,37,95,138,58,93
4602500VTD1,286,55,216,266,50,182,285,106,162,294,142,133
4602500VTD5,326,50,260,325,52,233,319,105,195,336,144,182
46025VTD-W3,190,45,145,186,54,118,184,69,115,190,90,101
460950VTD-2,190,53,135,184,69,104,181,75,77,184,111,70
460950VTD-4,246,59,193,245,50,171,245,90,143,254,139,133
460950VTD-5,186,74,115,185,80,95,186,106,81,217,135,61
460950VTD-3,44,16,29,44,16,24,47,24,22,48,27,21
46081VTD-W3,155,37,120,155,27,114,138,42,96,143,43,95
46081VTD-WW,521,119,401,518,92,382,464,142,329,480,147,323
46081VTD-W2,218,50,164,218,37,161,192,59,135,198,63,135
46081VTD-W1,166,38,127,166,30,122,149,47,104,152,49,101
46081VTD-R1,761,175,581,761,200,491,687,267,403,702,298,388
46081VTD-CC,45,9,34,45,11,29,40,15,23,41,17,22
46083VTD-26,226,52,170,226,53,163,208,70,131,211,77,131
46083VTD-B3,68,15,53,68,16,47,61,25,40,63,25,39
46083VTD-B1,83,18,60,83,19,54,74,26,44,75,29,44
46083VTD-B2,58,12,45,58,14,41,52,18,33,55,21,32
46083VTD-C3,291,75,210,292,96,178,238,107,126,251,123,126
46083VTD-C2,263,67,191,264,85,161,214,96,115,227,112,115
46083VTD-C1,362,93,270,363,119,223,294,137,158,314,156,158
46083VTD-C4,237,75,159,233,86,125,186,96,100,199,117,86
46083VTD-C5,248,76,174,246,95,135,202,103,106,215,124,95
46083VTD-T3,616,125,488,611,173,385,524,221,305,551,258,295
46083VTD-T2,560,115,444,556,160,350,477,200,277,505,235,268
46083VTD-T1,576,120,457,572,165,359,490,207,287,519,240,274
460290VTD-3,644,146,472,645,148,466,557,181,361,578,245,353
460290VTD-5,916,202,707,917,196,640,862,311,552,912,385,528
460290VTD-2,1209,278,918,1186,229,871,1039,366,656,1104,432,669
46029VTD-E3,793,164,632,798,181,580,676,218,463,701,243,448
46029VTD-B3,312,78,231,314,88,203,267,107,159,281,122,153
46029VTD-A4,377,84,297,377,109,249,310,121,187,332,148,181
46029VTD-A3,341,75,270,340,99,225,279,109,169,300,135,163
46029VTD-B1,540,118,416,538,148,362,485,188,300,511,203,300
46029VTD-B4,85,19,66,84,24,58,77,28,47,80,32,47
46029VTD-E5,106,24,82,106,29,72,96,36,60,101,40,60
46029VTD-C1,315,83,235,316,88,205,267,110,158,286,122,152
46029VTD-D4,174,63,110,174,59,102,148,75,72,151,80,66
46029VTD-C2,198,74,126,198,65,117,166,84,79,169,92,77
46029VTD-E2,273,64,212,271,66,190,278,90,190,288,100,182
46029VTD-E4,248,57,191,246,62,172,136,56,79,145,66,75
460510VTD42,309,68,236,309,79,212,270,93,172,284,108,171
46051VTD2-2,808,190,617,789,227,506,661,270,400,716,323,384
46051VTD2-1,504,126,378,503,154,316,402,145,256,417,183,217
460510VTD44,570,116,455,571,138,406,509,197,327,537,236,324
460510VTD41,523,147,370,519,145,329,449,218,268,487,256,253
460510VTD43,635,134,488,640,133,451,530,176,363,549,205,340
460510VDT46,214,56,150,215,51,150,187,75,120,193,94,110
4609900N1-5,683,262,423,693,297,347,485,257,226,507,285,210
4609900N1-4,1024,393,634,1038,447,521,725,387,339,758,428,319
4609900N5-2,641,318,318,660,366,231,558,393,165,579,409,158
4609900N5-1,578,287,290,590,327,208,503,354,151,521,370,141
46083VTD-L2,297,68,234,294,94,185,271,111,161,288,130,153
46083VTD-L1,324,76,247,323,96,203,290,119,172,311,140,168
460410VTD-4,290,63,227,290,62,202,297,145,142,304,154,141
460410VTD-3,34,9,26,34,8,24,35,17,16,36,17,16
46041VTD-13,98,55,42,99,63,31,111,87,24,116,100,13
46041VTD-12,127,71,57,128,81,42,144,113,30,149,128,18
46041VTD-11,43,28,15,45,33,10,50,45,7,52,50,3
46041VTD-10,42,29,12,43,31,11,48,43,4,51,48,3
46103VTDHC1,1216,288,924,1220,286,834,1071,359,705,1101,375,690
460370VTD-6,191,87,105,188,87,90,191,110,74,201,120,76
46037VTD6W3,64,30,35,62,30,31,64,36,25,66,41,26
460370VTD-5,58,19,37,55,19,25,53,22,22,56,26,20
46037VTD5W2,65,23,40,59,23,33,59,30,28,64,33,26
46037VTD5W1,65,23,42,60,23,35,60,34,32,63,36,30
46037VTD-RW,167,49,110,171,50,104,172,84,87,180,97,84
46037VTD-BW,190,51,132,188,52,122,169,66,106,188,83,101
46037VTD2w2,159,51,107,161,54,95,135,72,67,147,81,67
46037VTD2W3,125,40,84,126,42,76,106,55,50,114,63,50
46037VTD4W1,187,57,131,181,64,107,162,89,77,182,99,85
46037VTD1w1,277,85,192,275,86,170,245,107,135,268,129,134
46037VTD3W3,158,52,106,153,50,95,158,77,77,165,86,76
46005VTDW81,637,182,454,620,234,354,546,249,301,565,257,301
46005VTD-W3,621,185,433,631,211,372,480,228,250,514,256,246
46005VTD-01,680,101,561,679,101,525,609,180,436,628,193,437
46005VTD-02,788,153,655,776,148,545,675,403,184,723,363,382
46005VTD-05,583,111,445,575,132,385,507,266,217,528,276,287
46005VTD-W2,652,246,409,652,219,370,503,245,263,545,284,255
46005VTDW01,306,92,228,306,85,211,273,127,143,278,131,142
46005VTDW82,524,127,397,522,150,338,464,205,257,485,224,252
460050VTD-1,685,198,503,678,188,467,609,281,323,615,290,319
46005VTD-04,92,25,67,92,24,63,83,36,40,87,37,39
46005VTDW71,673,168,490,673,183,438,545,238,307,581,263,307
46005VTDW72,592,154,440,571,161,380,502,232,280,526,253,273
460990N3-17,1719,418,1303,1727,605,1016,1505,733,779,1617,808,781
460990N1-17,1358,352,1008,1371,462,800,1049,497,552,1110,589,505
460990N3-16,1349,304,1041,1355,448,818,1321,591,727,1407,646,752
460990NVP-6,498,138,359,508,140,341,431,163,252,452,178,264
460990N3-12,1192,388,796,1202,433,689,1030,500,533,1079,538,523
460990N3-14,1454,482,975,1465,571,742,1335,704,629,1404,758,616
460990N4-10,943,321,619,951,369,497,745,382,363,795,415,370
460990N2-14,2301,666,1633,2293,916,1246,2231,1142,1086,2341,1239,1088
4609900N2-7,2258,570,1685,2258,804,1301,1811,824,972,1908,889,993
460990NVP02,1580,359,1217,1582,438,1019,1692,623,1069,1763,693,1053
460990N4-11,1750,481,1264,1749,625,1010,1382,611,777,1476,714,753
4609900N4-7,1293,495,797,1300,580,636,1061,590,470,1111,628,466
4609900N4-1,726,350,383,737,370,308,587,377,215,620,397,212
460990N4-14,349,170,180,356,174,148,279,179,98,297,189,96
4609900N3-5,994,415,578,1040,428,535,775,430,342,808,479,311
4609900N4-5,949,373,574,970,396,500,826,455,371,877,489,370
4609900N3-9,2015,724,1292,2080,830,1125,1429,775,649,1483,856,601
460990N5-20,1020,428,590,1008,440,451,831,459,372,878,516,350
460990N4-13,789,329,459,788,401,335,648,397,253,680,436,236
4609900N4-2,752,322,431,752,352,328,637,388,245,661,418,237
4609900N4-8,544,222,321,551,262,251,483,268,211,505,286,211
4609900N4-3,506,227,279,509,242,226,394,241,154,418,260,145
4609900N4-6,306,146,162,316,137,156,294,176,116,304,187,113
460990000N4,1006,302,702,1009,303,650,908,366,536,948,428,511
460990NVP16,999,236,766,1005,268,659,907,375,533,971,439,529
460650VTD-5,233,54,181,233,69,158,243,148,121,244,147,122
460650VTD-7,117,7,109,109,9,86,87,26,60,89,26,66
460650VTD-9,92,47,50,100,56,35,114,92,22,114,91,29
46065VTD-11,1444,248,1182,1377,322,965,1197,535,663,1240,519,706
46065VTD-21,429,130,296,457,172,240,440,282,157,445,274,167
46065VTD-24,606,176,433,626,220,350,664,435,227,674,418,244
46065VTD-28,515,126,395,527,163,321,516,306,213,528,294,224
46065VTD-31,880,178,700,845,233,574,803,414,390,824,400,411
46065VTD-23,491,134,359,504,173,291,486,303,190,496,286,202
46065VTD-26,550,126,429,550,167,341,511,280,243,525,263,253
46065VTD-30,801,215,585,816,277,475,825,497,338,840,469,359
46065VTD-32,492,103,392,480,131,322,466,234,226,478,226,244
46065VTD-34,825,152,668,796,200,546,715,344,365,734,331,393
46065VTD-33,468,104,362,469,134,295,445,236,206,455,228,220
46065VTD-29,286,82,205,298,106,168,293,176,114,301,169,124
460110VTD-1,380,132,246,400,165,189,323,189,133,345,216,124
460110VTD-2,659,278,383,696,342,292,614,385,225,665,449,210
460110VTD-3,698,288,401,739,355,310,598,369,234,649,422,216
460110VTD-8,727,196,536,702,233,411,656,293,358,676,341,331
460110VTD-4,1389,503,883,1405,625,678,1241,702,545,1329,809,500
46011VTD-11,673,191,466,691,267,380,569,279,314,591,314,288
460110VTD-5,2372,755,1618,2373,931,1231,2150,1102,1056,2265,1272,962
460110VTD-6,2058,622,1439,2033,770,1101,1843,880,963,1928,1015,884
460110VTD-9,690,192,526,673,218,396,599,278,336,609,301,317
46011VTD-13,259,65,183,243,89,142,224,93,136,234,110,122
46011VTD-14,1247,335,920,1194,401,694,1107,490,622,1149,553,568
46011VTD-15,185,52,118,175,75,91,167,87,87,171,102,74
46011VTD-16,472,93,353,465,124,276,371,150,240,384,170,199
46011VTD-10,664,146,497,591,173,381,509,175,330,531,246,297
46011VTD-12,293,49,238,269,64,184,224,68,157,224,72,143
46013VTD-13,384,110,262,384,172,233,343,182,182,350,202,180
46013VTD-14,257,120,157,257,125,138,245,144,123,257,156,121
46013VTD-15,981,209,771,944,240,646,803,287,508,827,317,484
46013VTD-18,279,106,152,279,114,137,234,137,112,279,152,106
46013VTD-19,969,323,658,966,344,557,900,490,453,933,539,450
46013VTD-20,152,74,97,155,76,86,152,89,75,157,98,74
46013VTD-17,606,237,389,607,263,321,575,316,262,596,362,250
46013VTD-22,257,116,161,263,125,133,244,138,114,252,151,114
46013VTD-21,253,129,135,262,145,128,249,150,80,262,178,80
460130VTD-1,1200,352,841,1203,402,711,1018,492,532,1065,543,505
460130VTD-2,661,234,438,684,261,371,592,315,279,620,348,259
460130VTD-4,544,178,365,567,210,307,487,257,228,511,277,218
460130VTD-5,426,143,278,440,162,237,376,199,176,392,222,162
46013VTD-10,393,137,258,412,157,220,320,181,139,343,202,133
46013VTD-11,541,182,357,556,216,301,477,253,226,499,277,218
460130VTD-9,917,229,690,898,261,584,744,309,436,772,347,411
46013VTD-12,773,167,599,749,189,514,614,218,393,632,266,368
460130VTD-8,917,286,627,934,324,522,741,367,370,779,411,351
46013VTD-16,329,72,257,319,83,214,276,108,167,282,126,156
460130VTD-7,2022,500,1524,1957,567,1279,1653,700,950,1704,776,901
460130VTD-6,1846,506,1340,1809,572,1134,1532,714,823,1595,787,781
460130VTD-3,1425,411,1018,1418,467,854,1196,560,637,1244,619,609
460690VTD-3,190,16,167,189,16,159,167,36,120,168,37,112
460690VTD-2,135,21,106,135,22,102,122,43,79,124,46,76
460690VTD-5,109,16,87,111,16,80,120,48,67,120,48,66
460690VTD-1,132,24,104,132,25,102,124,46,75,126,48,74
460690VTD-4,132,25,107,132,25,102,126,47,73,128,49,72
46107VTD-01,306,35,222,305,30,222,270,80,190,279,85,190
46107VTD-02,242,51,195,242,42,193,215,70,150,222,78,150
46107VTD-36,0,0,0,0,0,0,0,0,0,0,0,0
46107VTD-04,305,55,247,306,52,247,258,71,188,271,87,188
46107VTD-05,262,39,216,259,37,216,217,41,162,224,53,162
46107VTD-03,239,33,202,244,31,202,206,55,150,213,63,150
461350VTD-1,9626,3037,6554,9606,3242,5653,8579,3682,4914,8987,4745,4138
461190VTD-2,92,6,83,92,6,81,82,17,53,82,17,53
461190VTD-6,138,27,105,138,27,103,139,70,78,139,70,78
46119VTD3-2,107,16,86,109,16,84,101,39,61,103,39,61
46119VTD2-2,126,23,106,130,23,98,124,49,76,124,49,76
46119VTD2-1,141,22,118,139,22,113,125,47,77,129,47,77
461190VTD-1,149,17,126,158,17,115,143,49,95,148,47,95
461190VTD-5,111,9,101,110,9,89,102,22,69,102,22,69
46077000004,516,98,391,472,101,336,450,161,293,463,196,268
46077000002,538,126,406,528,128,365,490,167,301,509,205,300
46077000005,494,106,369,493,103,330,420,151,280,439,187,266
46077000001,498,151,350,498,158,297,466,189,271,497,255,240
46077000003,520,129,399,512,143,339,484,208,288,502,245,258
